idgruplac,verificado,tipo,capitulo,lugar,fecha,libro,isbn,volumen,paginas,editorial,autores
00000000003625,False,Otro capítulo de libro publicado,PROYECTOS DE INNOVACIÓN,Colombia,2010,"Acciones, Experiencias Y Aprendizajes Para Construir Región: Cauca Territorio D Enuevas Visiones",978-958-732-037-4,,107 - 114,Ediorial Universidad Del Cauca,"DEYCY JANETH SANCHEZ PRECIADO, ADRIANA PAOLA SANCHEZ RICO, JHON ALEXANDER URRUTIA PALACIOS"
00000000003625,False,Otro capítulo de libro publicado,CAUCA REGIÓN DEL CONOCIMIENTO: DINÁMICA TERRITORIAL DE REDES PARA LA INNOVACIÓN SOCIAL Y PRODUCTIVA,Colombia,2010,Libro Redes De Conocimiento En El Pacífico Colombiano: Experiencias En La Construcción De Estructuras Para La Gestión De Conocimiento Territorial.,978-958-732-035-0,,44 - 63,Editorial Universidad Del Cauca,"ADOLFO PLAZAS TENORIO, ADRIANA PAOLA SANCHEZ RICO"
00000000003625,False,Capítulo de libro,Presentación Plan Regional de Competitividad Cauca,Colombia,2009,Estrategias Y Dinámicas Para Innovar Y Ser Competitivos,978-958-732-018-3,,2 - 25,Editorial De La Universidad Del Cauca,"LUZ STELLA PEMBERTHY GALLO, WILFRED FABIAN RIVERA MARTINEZ"
00000000003625,False,Otro capítulo de libro publicado,THE CONCEPT MAP AS A TOOL FOR DESINGING A COMPETITIVENESS AND INNOVATION SYSTEM For Cauca - Colombia,Colombia,2009,Estrategias Y Dinámicas Para Innovar Y Ser Competitivos,978-958-732-018-3,,396 - 406,Editorial De La Universidad Del Cauca,"LUZ STELLA PEMBERTHY GALLO, DEYCY SANCHEZ PRECIADO, ADOLFO PLAZAS TENORIO"
00000000003625,False,Otro capítulo de libro publicado,Documento Maestro Proceso de Sistematización,Colombia,2009,Estrategias Y Dinámicas Para Innovar Y Ser Competitivos,978-958-732-018-3,,315 - 326,Editorial De La Universidad Del Cauca,"LUZ STELLA PEMBERTHY GALLO, DEYCY SANCHEZ PRECIADO, ADRIANA PAOLA SANCHEZ RICO, ADOLFO PLAZAS TENORIO, CAROLINA QUINONEZ ZUNIGA, WILFRED FABIAN RIVERA MARTINEZ, ALEXANDER URRUTIA, DIANA GUAUNA, CLAUDIA FERNANDA BALCAZAR VILLAQUIAN, DAVID CAMARGO, CARLOS RAUL PRADO"
00000000003625,False,Otro capítulo de libro publicado,Gestión de conocimiento: Conozcamos que hacemos y que sabemos paque todos podamos aprender,Colombia,2007,Una Estrategia Para Agregar Valor Y Ser Competitivos,978-958-9451-34-2,,150 - 175,Ediorial Universidad Del Cauca,LUZ STELLA PEMBERTHY GALLO
00000000003625,False,Otro capítulo de libro publicado,"Cauca, Región de Conocimiento: Génesis y Evolución de un Sistema Regional de Ciencia, Tecnología e Innovación en un Contexto Rural, Biodiverso y Multicultural: Cauca - Colombia",Colombia,2006,"Encuentro Nacional De Investigación Y Docencia 2006: Epistemología, Investigación Y Educación En Las Ciencias Administrativas.",978-958-440-745-0,1,286 - 300,Ascolfa,"ADOLFO PLAZAS TENORIO, ADRIANA PAOLA SANCHEZ RICO, MARIA FERNANDA MORENO, CAMPO ELIAS BERNAL"
00000000003625,False,Otro capítulo de libro publicado,Consolidación de una Agenda de Competitividad a Partir de Sistemas Colectivos de Agregación de Valor,Colombia,2006,Perspectivas De Investigación Para El Cauca: Una Construcción Interdisciplinaria Sobre El Desarrollo Tecnológico Y Su Impacto En El Entorno,978-958-9451-16-8,,70 - 74,Universidad del Cauca,"ADOLFO PLAZAS TENORIO, LUZ STELLA PEMBERTHY GALLO"
00000000003625,False,Otro capítulo de libro publicado,"La Agenda Regional de Competitividad ""Cauca Compite"": Una Apuesta con Visión de Futuro",Colombia,2006,Perspectivas De Investigación Para El Cauca: Una Construcción Interdisciplinaria Sobre El Desarrollo Tecnológico Y Su Impacto En El Entorno,978-958-9451-16-8,1,1 - 20,Universidad del Cauca,"ADOLFO PLAZAS TENORIO, MARTHA NYDIA OJEDA BAOS"
00000000003625,False,Otro capítulo de libro publicado,A CONCEPTUAL APPROACH FOR TOURISM PRODUCTS BASED ON THE ¿TECNOCULTURALITY¿ CONCEPT,Turquía,2007,PROCEEDINGS OF EurOMA 2007,0,1,1 - 10,Bilkent University,"LUZ STELLA PEMBERTHY GALLO, DEYCY JANETH SANCHEZ PRECIADO, ANDRES CASTRILLON"
00000000003625,False,Otro capítulo de libro publicado,"A TECHNOLOGY MANAGEMENT STRATEGY FOR RURAL PRODUCERS IN CAUCA, COLOMBIA, AS A COMPONENT TO AN INTEGRAL STRATEGY",Turquía,2007,Proccedings 14th International Annual Euroma Conference: Managing Operations In An Expanding Europe,978-975-6090-23-7,1,1 - 15,No Aplica,"DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO, ADOLFO PLAZAS TENORIO"
00000000003625,False,Otro capítulo de libro publicado,La Gestión Tecnológica en la Estrategia Integral,Colombia,2007,Estrategia Integral Para Mejorar La Competitividad De Agrocadenas De Productores Rurales De Pequeña Escala En El Departamento Del Cauca,978-958-9451-49-6,300,39 - 49,Editorial Universidad Del Cauca,"DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO, ADOLFO PLAZAS TENORIO"
00000000003625,False,Otro capítulo de libro publicado,"A TECHNOLOGY MANAGEMENT STRATEGY FOR RURAL PRODUCERS IN CAUCA, COLOMBIA, AS A COMPONENT TO AN INTEGRAL STRATEGY",Turquía,2007,PROCEEDINGS OF EurOMA 2007,0,1,1 - 10,Bilkent University,"LUZ STELLA PEMBERTHY GALLO, DEYCY JANETH SANCHEZ PRECIADO, ADOLFO PLAZAS TENORIO"
00000000003625,False,Otro capítulo de libro publicado,A CONCEPTUAL APPROACH FOR TOURISM PRODUCTS BASED ON THE ¿TECNOCULTURALITY¿ CONCEPT,Turquía,2007,Proccedings 14th International Annual Euroma Conference: Managing Operations In An Expanding Europe,978-975-6090-23-7,1,1 - 10,No Aplica,"DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO, ANDRES JOSE CASTRILLON"
00000000003625,False,Otro capítulo de libro publicado,"Gestionar el conocimiento para aprender, para generar valor y ser competitivo",Colombia,2007,Estrategia Integral Para Mejorar La Competitividad De Agrocadenas De Productores Rurales De Pequeña Escala En El Departamento Del Cauca,978-958-9451-49-6,,63 - 71,Editorial Universidad Del Cauca,LUZ STELLA PEMBERTHY GALLO
00000000003625,False,Otro capítulo de libro publicado,Gestión tecnológica: Vamos a actuar y a innovar pa diferenciarnos,Colombia,2007,Una Estrategia Para Agregar Valor Y Ser Competitivos,978-958-9451-34-2,,75 - 100,Ediorial Universidad Del Cauca,DEYCY JANETH SANCHEZ PRECIADO
00000000003625,False,Otro capítulo de libro publicado,Gestión De Conocimiento: Un Principio Clave Para La Evolución De Cadenas Productivas A Cadenas De Valor,Argentina,2007,Memorias Xii Seminario Latino-Iberoamericano De Gestión Tecnológica - Altec 2007,978-987-24199-0-5,,,Altec,"LUZ STELLA PEMBERTHY GALLO, NATALIA CAROLINA MAYA, PAOLA VICTORIA MUNOZ"
00000000003625,False,Otro capítulo de libro publicado,Intercambio de Experiencias en Piscicultura y Ecoturismo,Colombia,2009,Estrategias Y Dinámicas Para Innovar Y Ser Competitivos,978-958-732-018-3,,197 - 211,Editorial De La Universidad Del Cauca,LUZ STELLA PEMBERTHY GALLO
00000000003625,False,Otro capítulo de libro publicado,MÓDULO ASOCIATIVIDAD Y ARTICULACIÓN DE REDES SOCIALES,Colombia,2007,Estrategia Integral Para Mejorar La Competitividad De Agrocadenas De Productores Rurales De Pequeña Escala En El Departamento Del Cauca,978-958-9451-49-6,,10 - 95,Editorial Universidad Del Cauca,SANDRA PATRICIA REBOLLEDO ACOSTA
00000000003625,False,Otro capítulo de libro publicado,Knowledge management: a key factor for productive chain evolution in the department of Cauca,Países Bajos,2007,Knowledge Management for Development Journal ,1871-6342-,,95 - 104,KM4Dev-community,"PAOLA VICTORIA MUNOZ, LUZ STELLA PEMBERTHY GALLO, NATALIA CAROLINA MAYA"
00000000003625,False,Otro capítulo de libro publicado,Memorias Curso de Formación para Articuladores,Colombia,2008,Memorias Curso De Formación Avanzada Para Articuladores. Formaciòn Avanzada Para Articuladores De Cadenas Productivas De Pequeña Escala Con Enfoque Integral Para Articulación Al Mercado,978-958-9451-88-5,,47 - 52,Editorial Universidad Del Cauca,DEYCY JANETH SANCHEZ PRECIADO
00000000003625,False,Otro capítulo de libro publicado,Apropiación social de conocimiento,Colombia,2008,Uso De Enfoques Y Herramientas De Inteligencia Competitiva Para La Articulación Al Mercado De Redes De Agroempresas Rurales En El Cauca,978-958-9451-87-8,,184 - 208,Editorial Universidad Del Cauca,LUZ STELLA PEMBERTHY GALLO
00000000003625,False,Otro capítulo de libro publicado,Gestión de la Información y la Comunicación,Colombia,2008,Memorias Curso De Formación Avanzada Para Articuladores. Formaciòn Avanzada Para Articuladores De Cadenas Productivas De Pequeña Escala Con Enfoque Integral Para Articulación Al Mercado,978-958-9451-88-5,,17 - 23,Editorial Universidad Del Cauca,CAROLINA QUINONEZ ZUNIGA
00000000003625,False,Otro capítulo de libro publicado,Vigilancia y articulación con el entorno,Colombia,2008,Memorias Curso De Formación Avanzada Para Articuladores. Formaciòn Avanzada Para Articuladores De Cadenas Productivas De Pequeña Escala Con Enfoque Integral Para Articulación Al Mercado,978-958-9451-88-5,,31 - 35,Editorial Universidad Del Cauca,ADOLFO PLAZAS TENORIO
00000000003625,False,Otro capítulo de libro publicado,Presentación proyecto uso de enfoques de herramientas de inteligencia competitiva,Colombia,2008,Uso De Enfoques Y Herramientas De Inteligencia Competitiva Para La Articulación Al Mercado De Redes De Agroempresas Rurales En El Cauca,978-958-9451-87-8,,1 - 50,Editorial Universidad Del Cauca,ADOLFO PLAZAS TENORIO
00000000003625,False,Otro capítulo de libro publicado,Gestión Del Conocimiento: Clave Para Ser Competitivo,Colombia,2008,Memorias Curso De Formación Avanzada Para Articuladores. Formaciòn Avanzada Para Articuladores De Cadenas Productivas De Pequeña Escala Con Enfoque Integral Para Articulación Al Mercado,978-958-9451-88-5,,53 - 57,Editorial Universidad Del Cauca,LUZ STELLA PEMBERTHY GALLO
00000000003625,False,Otro capítulo de libro publicado,"Ciencia, Tecnología e Innovación. Informe de trabajo de apoyo para la mesa de Ciencia y Tecnología",Colombia,2009,Estrategias Y Dinámicas Para Innovar Y Ser Competitivos,978-958-732-018-3,,106 - 138,Editorial De La Universidad Del Cauca,ADRIANA PAOLA SANCHEZ RICO
00000000003625,False,Otro capítulo de libro publicado,"Génesis y evolución de un sistema regional de Ciencia, Tecnología e Innovación - SRCTI- en un contexto rural, biodiverso y multicultural: Cauca ¿ Colombia",Colombia,2009,Universidad - Empresa ¿ Estado. Cátedra Low Maus,978-958-8504-09-4,,137 - 163,Division Editorial Y De Publicaciones Uis Universidad Industrial De Santander,"ADRIANA PAOLA SANCHEZ RICO, ADOLFO PLAZAS, CAMPO ELIAS BERNAL"
00000000003625,False,Otro capítulo de libro publicado,"ESTRATEGIAS PARA INTEGRAR A LOS ACTORES DE LA RED DE OFERTA Y DEMANDA EN CIENCIA Y TECNOLOGÍA DEL DEPARTAMENTO DEL CAUCA, A TRAVÉS DE LA RELACIÓN ENTRE LA UNIVERSIDAD, LA EMPRESA Y EL ESTADO",Colombia,2010,Libro Redes De Conocimiento En El Pacífico Colombiano: Experiencias En La Construcción De Estructuras Para La Gestión De Conocimiento Territorial.,978-958-732-035-0,,64 - 85,Editorial Universidad Del Cauca,"DEYCY JANETH SANCHEZ PRECIADO, ADRIANA PAOLA SANCHEZ RICO, JHON ALEXANDER URRUTIA PALACIOS"
00000000003625,False,Otro capítulo de libro publicado,EL CASO DE UN PROYECTO DE INNOVACIÓN ORGANIZATIVA: CONCEPCIÓN DE UN PLAN TECNOLÓGICO PARA LA CADENA PISCÍCOLA DEL CAUCA,Colombia,2010,Libro Redes De Conocimiento En El Pacífico Colombiano: Experiencias En La Construcción De Estructuras Para La Gestión De Conocimiento Territorial.,978-958-732-035-0,,107 - 130,Editorial Universidad Del Cauca,"DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO, ADOLFO PLAZAS TENORIO, SANDRA PATRICIA REBOLLEDO ACOSTA"
00000000003625,False,Otro capítulo de libro publicado,LA TECNOLOGÍA: UN MEDIO PARA SATISFACER NECESIDADES Y DEMANDAS EN LAS ORGANIZACIONES,Colombia,2006,Perspectivas De Investigación Para El Cauca: Una Construcción Interdisciplinaria Sobre El Desarrollo Tecnológico Y Su Impacto En El Entorno,978-958-9451-16-8,1,24 - 38,Universidad del Cauca,"DEYCY JANETH SANCHEZ PRECIADO, ADRIANA PAOLA SANCHEZ RICO"
00000000003625,False,Otro capítulo de libro publicado,Foros municipales y foro departamental 2009. Informe de acompañamiento por parte del comité Universidad ¿Empresa-Estado Cauca- Nariño,Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,755 - 765,Ediorial Universidad Del Cauca,ADRIANA PAOLA SANCHEZ RICO
00000000003625,False,Otro capítulo de libro publicado,GESTION DEL CONOCIMIENTO EN LAS ORGANIZACIONES,Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,324 - 350,Ediorial Universidad Del Cauca,LUZ STELLA PEMBERTHY GALLO
00000000003625,False,Otro capítulo de libro publicado,Experiencia significativa: Estrategia de innovación para la competitividad de sectores estratégicos del departamento del Cauca,Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,805 - 814,Ediorial Universidad Del Cauca,LUZ STELLA PEMBERTHY GALLO
00000000003625,False,Otro capítulo de libro publicado,"DESARROLLO REGIONAL: Sueños, sociedad y equidad, es posible lograrlo",Colombia,2010,"Acciones, Experiencias Y Aprendizajes Para Construir Región: Cauca Territorio D Enuevas Visiones",978-958-732-037-4,,17 - 30,Ediorial Universidad Del Cauca,LUZ STELLA PEMBERTHY GALLO
00000000003625,False,Otro capítulo de libro publicado,"ASOCIATIVIDAD: Por el buen camino, mejorando juntos",Colombia,2010,"Acciones, Experiencias Y Aprendizajes Para Construir Región: Cauca Territorio D Enuevas Visiones",978-958-732-037-4,,41 - 52,Ediorial Universidad Del Cauca,LUZ STELLA PEMBERTHY GALLO
00000000003625,False,Otro capítulo de libro publicado,GESTIÓN DE CONOCIMIENTO: El que departe y comparte aprende y mucho más,Colombia,2010,"Acciones, Experiencias Y Aprendizajes Para Construir Región: Cauca Territorio D Enuevas Visiones",978-958-732-037-4,,53 - 66,Ediorial Universidad Del Cauca,LUZ STELLA PEMBERTHY GALLO
00000000003625,False,Otro capítulo de libro publicado,INNOVACIÓN: El feliz encuentro entre el conocimiento y la necesidad,Colombia,2010,"Acciones, Experiencias Y Aprendizajes Para Construir Región: Cauca Territorio D Enuevas Visiones",978-958-732-037-4,,83 - 96,Ediorial Universidad Del Cauca,ADOLFO PLAZAS TENORIO
00000000003625,False,Capítulo de libro,Articulación y Relacionamiento Inter-institucional: estrategia clave para la competitividad de una región,Colombia,2011,Experiencias Significativas En El Relacionamiento Universidad Empresa Estado: Un Espacio Para La Innovación Abierta En El Sur-Occidente Colombiano,978-958-732-093-0,,9 - 47,Editorial Universidad Del Cauca,"LUZ STELLA PEMBERTHY GALLO, ADOLFO PLAZAS TENORIO, ALEXANDER URRUTIA"
00000000003625,False,Otro capítulo de libro publicado,Modelo lógico conceptual para la identificación de las capacidades de investigación de la Universidad del Cauca,Colombia,2011,Experiencias significativas en el relacionamiento universidad empresa estado,978-958-732-093-0,,20 - 33,Universidad del Cauca,"YURY YOHANA CASTILLO MOLINA, LUZ STELLA PEMBERTHY GALLO, WILFRED FABIAN RIVERA MARTINEZ"
00000000003625,False,Otro capítulo de libro publicado,"Caracterización de la oferta tecnológica de Cauca y Nariño: un aporte al desarrollo de la Ciencia, la Tecnología y la Innovación",Colombia,2012,Cauca Y Nariño Frente Al Desafío De Las Regiones Del Conocimiento. Estrategia De Innovación En El Marco Del Relacionamiento Universidad Empresa Estado,978-958-732-110-4,,88 - 107,Editorial Universidad Del Cauca,"LUZ STELLA PEMBERTHY GALLO, YURY YOHANA CASTILLO MOLINA, DIEGO DE LA ROSA SALAZAR"
00000000003625,False,Otro capítulo de libro publicado,"Sector Empresarial del Cauca y Nariño, Una Visión para la Competitividad de la Región"" Cauca Y Nariño Frente Al Desafío De Las Regiones Del Conocimiento. Estrategia De Innovación En El Marco Del Relacionamiento Universidad Empresa Estado",Colombia,2012,Cauca Y Nariño Frente Al Desafío De Las Regiones Del Conocimiento. Estrategia De Innovación En El Marco Del Relacionamiento Universidad Empresa Estado,978-958-732-110-4,,108 - 126,Editorial Universidad Del Cauca,"WILFRED FABIAN RIVERA MARTINEZ, CARLOS MANUEL MONTENEGRO BENAVIDES, CESAR AUGUSTO GOMEZ VILLAMARIN"
00000000003625,False,Otro capítulo de libro publicado,"Cauca y Nariño, decididos a avanzar hacia una Región del Conocimiento",Colombia,2012,Cauca Y Nariño Frente Al Desafío De Las Regiones Del Conocimiento. Estrategia De Innovación En El Marco Del Relacionamiento Universidad Empresa Estado,978-958-732-110-4,,42 - 63,Editorial Universidad Del Cauca,"ADOLFO PLAZAS TENORIO, CAMPO ELIAS BERNAL, GUSTAVO ADOLFO NARVAEZ DE LA ROSA"
00000000003625,False,Otro capítulo de libro publicado,"Economía, sociedad y biodiversidad del Pacífico colombiano",Colombia,2012,Cauca Y Nariño Frente Al Desafío De Las Regiones Del Conocimiento. Estrategia De Innovación En El Marco Del Relacionamiento Universidad Empresa Estado,978-958-732-110-4,,21 - 41,Editorial Universidad Del Cauca,"LUZ STELLA PEMBERTHY GALLO, FABIAN ENRIQUE SALAZAR VILLANO"
00000000003625,False,Otro capítulo de libro publicado,Articulación de la oferta y la demanda tecnológica en Cauca y Nariño a través de la realización de una Rueda de Negocios de Innovación,Colombia,2012,Cauca Y Nariño Frente Al Desafío De Las Regiones Del Conocimiento. Estrategia De Innovación En El Marco Del Relacionamiento Universidad Empresa Estado,978-958-732-110-4,,21 - 261,Editorial Universidad Del Cauca,"DEYCY SANCHEZ PRECIADO, OMAIRA CALVO GIRALDO, ARTURO OBANDO IBARRA"
00000000003625,False,Otro capítulo de libro publicado,Experiencias y aprendizajes sobre gestión de conocimiento desarrollados en el territorio,Colombia,2013,Cociencia Cauca: Plan Estartégico Departamental De Ciencia Tecnología E Innovación,978-958-57044-8-0,,207 - 226,Universidad del Cauca,"LUZ STELLA PEMBERTHY GALLO, ADOLFO PLAZAS TENORIO, APOLINAR FIGEROA CASAS, DEYCY JANETH SANCHEZ PRECIADO, DILVER NOE ALEGRIA H, EDUARDO ROJAS PINEDA, MIGUEL CORCHUELO, SAMIR CARLOS JOAQUI DAZA, WILFRED FABIAN RIVERA MARTINEZ, CAMPO ELIAS BERNAL, CESAR AUGUSTO GOMEZ VILLAMAIN, OMAIRA CALVO GIRALDO, JUAN PABLO MARTINEZ IDROBO, MONICA PATRICIA VALENCIA"
00000000003625,False,Otro capítulo de libro publicado,"Sector Empresarial del Cauca y Nariño, Una Visión para la Competitividad de la Región"" Cauca Y Nariño Frente Al Desafío De Las Regiones Del Conocimiento. Estrategia De Innovación En El Marco Del Relacionamiento Universidad Empresa",Colombia,2013,Cauca Y Nariño Frente Al Desafío De Las Regiones Del Conocimiento. Estrategia De Innovación En El Marco Del Relacionamiento Universidad Empresa Estado,978-958-732-110-4,,108 - 126,Editorial Universidad Del Cauca,"WILFRED FABIAN RIVERA MARTINEZ, CESAR AUGUSTO GOMEZ VILLAMARIN, CARLOS MANUEL MONTENEGRO BENAVIDES"
00000000003625,False,Otro capítulo de libro publicado,Adaptación de un modelo para caracterizar los procesos de gestión de la innovación en las empresas del sector TIC de la ciudad de Popayan,Colombia,2013,"Gestión De La Tecnología Y La Innovación Para La Competitividad En Mercados Abiertos. Memorias, Iii Congreso Internacional De Gestión Tecnológica E Innovación 2012.",978-958-764-093-9,,1607 - 1621,Editorial Upb,YURY YOHANA CASTILLO MOLINA
00000000003625,False,Otro capítulo de libro publicado,Estado de las Capacidades de Regionales de CTI,Colombia,2013,Plan Departamental de Ciencia Tecnología e Innovación del Cauca,978-958-57044-8-0,,122 - 131,Gobernacion Del Cauca,CESAR AUGUSTO GOMEZ VILLAMARIN
00000000003625,False,Otro capítulo de libro publicado,Memorias taller No 3: Plan de trabajo de Nariño 2010,Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,722 - 730,Ediorial Universidad Del Cauca,ADRIANA PAOLA SANCHEZ RICO
00000000003625,False,Otro capítulo de libro publicado,Memorias Taller No 2: Reconociendo el contexto regional,Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,708 - 721,Ediorial Universidad Del Cauca,"ADRIANA PAOLA SANCHEZ RICO, OMAIRA CALVO GIRALDO"
00000000003625,False,Otro capítulo de libro publicado,"Cauca Región del Conocimiento: Estrategias de inserción de un territorio rural, plurietnico, multicultural y biodiverso, en las sociedades del conocimiento",Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,1 - 14,Ediorial Universidad Del Cauca,ADOLFO PLAZAS TENORIO
00000000003625,False,Otro capítulo de libro publicado,Informe de intercambio con actores de CUEE de Antioquia,Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,91 - 101,Ediorial Universidad Del Cauca,"DEYCY SANCHEZ PRECIADO, CAROLINA QUINONEZ ZUNIGA, LUZ STELLA PEMBERTHY GALLO, ADRIANA PAOLA SANCHEZ RICO"
00000000003625,False,Otro capítulo de libro publicado,CONFORMACIÓN DE REDES BASADAS EN GESTIÓN DE CONOCIMIENTO EN EL CAUCA,Colombia,2010,Libro Redes De Conocimiento En El Pacífico Colombiano: Experiencias En La Construcción De Estructuras Para La Gestión De Conocimiento Territorial.,978-958-732-035-0,,23 - 43,Editorial Universidad Del Cauca,"DEYCY SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO"
00000000003625,False,Otro capítulo de libro publicado,Dinámicas Universidad-Empresa-Estado en Cauca y Nariño: Un proceso de construcción de región capitalizando las similitudes y respetando las diferencias,Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,827 - 838,Ediorial Universidad Del Cauca,"ADOLFO PLAZAS TENORIO, LUZ STELLA PEMBERTHY GALLO, DEYCY JANETH SANCHEZ PRECIADO"
00000000003625,False,Capítulo de libro,RESÚMENES- FORMULACIÓN DE PROYECTOS PARA EMPRESARIOS DEL NORTE DEL CAUCA,Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,866 - 871,Ediorial Universidad Del Cauca,"DEYCY JANETH SANCHEZ PRECIADO, ADRIANA PAOLA SANCHEZ RICO, JHON ALEXANDER URRUTIA PALACIOS"
00000000003625,False,Capítulo de libro,ACOMPAÑAMIENTO METODOLÓGICO EN LA FORMULACIÓN DE PROYECTOS DE INNOVACIÓN,Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,57 - 60,Ediorial Universidad Del Cauca,"DEYCY JANETH SANCHEZ PRECIADO, JHON ALEXANDER URRUTIA PALACIOS"
00000000003625,False,Otro capítulo de libro publicado,Resumenes de propuestas de Monitorias y pasantias,Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,855 - 865,Ediorial Universidad Del Cauca,YURY YOHANA CASTILLO MOLINA
00000000003625,False,Otro capítulo de libro publicado,Reconociendo el Contexto Regional,Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,115 - 142,Ediorial Universidad Del Cauca,"ADRIANA PAOLA SANCHEZ RICO, OMAIRA CALVO GIRALDO"
00000000003625,False,Otro capítulo de libro publicado,Identificación de Competencias para la gestión Tecnológica en Grupos de Investigación de la Universidad del Cauca,Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,115 - 142,Ediorial Universidad Del Cauca,OMAIRA CALVO GIRALDO
00000000003625,False,Otro capítulo de libro publicado,"Dinámicas Universidad Empresa Estado. Dialogar, aprender y crear. Actuar para crecer. Hay con quien",Colombia,2010,"Acciones, Experiencias Y Aprendizajes Para Construir Región: Cauca Territorio D Enuevas Visiones",978-958-732-037-4,,97 - 106,Ediorial Universidad Del Cauca,"ADRIANA PAOLA SANCHEZ RICO, DEYCY SANCHEZ, JHON ALEXANDER URRUTIA PALACIOS"
00000000003625,False,Otro capítulo de libro publicado,Memorias Taller No 1: Proceso de sensibilización,Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,699 - 707,Ediorial Universidad Del Cauca,"LUZ STELLA PEMBERTHY GALLO, CAROLINA QUINONEZ ZUNIGA"
00000000003625,False,Otro capítulo de libro publicado,ESTRATEGIA COMPETITIVA DE LA ZONA NORTE DEL CAUCA: PRODUCTIVIDAD EMPRESARIAL CON INNOVACION SOCIAL,Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,143 - 152,Ediorial Universidad Del Cauca,ADOLFO PLAZAS TENORIO
00000000003625,False,Capítulo de libro,PROGRAMA DE FORMACION EN ALTA GERENCIA PARA LA COMPETITIVIDAD,Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,102 - 109,Ediorial Universidad Del Cauca,"DEYCY JANETH SANCHEZ PRECIADO, LUCY RAMIREZ EMBUS"
00000000003625,False,Capítulo de libro,"POSTER DE EXPERIENCIAS SIGNIFICATIVAS: ESTRATEGIA DE INNOVACIÓN , DINÁMICAS UEE, TURISMO EN CAUCA",Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,815 - 818,Ediorial Universidad Del Cauca,"DEYCY JANETH SANCHEZ PRECIADO, LUZ STELLA PEMBERTHY GALLO, ADRIANA PAOLA SANCHEZ RICO"
00000000003625,False,Capítulo de libro,FORMACION DE GESTORES TECNOLOGICOS PARA LA RELACION UNIVERSIDAD ESTADO EMPRESA EN CAUCA Y NARIÑO,Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,110 - 114,Ediorial Universidad Del Cauca,DEYCY JANETH SANCHEZ PRECIADO
00000000003625,False,Capítulo de libro,FUNCIONAMIENTO Y OPERACIÓN DE LOS COMITÉS DE LA ANDI CON ENFOQUE DE COMUNIDADES DE PRÁCTICA,Colombia,2010,Relación Universidad Empresa Estado: Una Dinámica De Participación Y Construcción Colectiva En El Cauca,978-958-732-049-7,,15 - 19,Ediorial Universidad Del Cauca,DEYCY JANETH SANCHEZ PRECIADO
